,0
463,0.29830918
464,0.2438768
465,0.2438768
466,0.33650857
467,0.14747275
468,0.23355299
469,0.106311776
470,0.25880194
471,0.08439231
472,0.15018417
473,0.10432821
474,0.10432821
475,0.14945135
476,0.14940122
477,0.28789574
478,0.14945135
479,0.27065194
480,0.27065194
481,0.3130119
482,0.27065194
483,0.13063471
484,0.13063471
485,0.31276688
486,0.26054075
487,0.31276688
488,0.31276688
489,0.31276688
490,0.30936244
491,0.31276688
492,0.17895378
493,0.6707876
494,0.6707876
495,0.28862014
496,0.28862014
497,0.196536
498,0.17624807
499,0.3616405
500,0.17055635
501,0.2835399
502,0.2921745
503,0.36202928
504,0.36202928
505,0.1078951
506,0.3096616
507,0.30718818
508,0.14853036
509,0.2666391
510,0.39132014
511,0.2825586
512,0.46400526
513,0.26956207
514,0.15328152
515,0.27487406
516,0.17325282
517,0.10389808
518,0.29384774
519,0.0656796
520,0.09534525
521,0.47726846
522,0.13426118
523,0.28374258
524,0.3967546
525,0.3967546
526,0.19584954
527,0.21974584
528,0.20905678
529,0.21232596
530,0.2794784
531,0.17646599
532,0.15120146
533,0.1562187
534,0.086383745
535,0.2558656
536,0.17512189
537,0.2833969
538,0.32440552
539,0.3297593
540,0.15288688
541,0.27717233
542,0.2683838
543,0.28141913
544,0.28141913
545,0.28141913
546,0.24894187
547,0.2746533
548,0.16078977
549,0.18890229
550,0.23968974
551,0.25461605
552,0.17619802
553,0.17374301
554,0.19090195
555,0.27151114
556,0.09931101
557,0.07662351
558,0.19159085
559,0.28757992
560,0.21362017
561,0.36559862
562,0.29344347
563,0.14054711
564,0.14367297
565,0.38895118
566,0.27589348
567,0.2281938
568,0.3392034
569,0.29005575
570,0.31471184
571,0.26160342
572,0.073891684
573,0.21611123
574,0.1920586
575,0.21611123
576,0.21484677
577,0.21531335
578,0.19866893
579,0.29530987
580,0.07266119
581,0.16438732
582,0.16438732
583,0.12786743
584,0.18857193
585,0.4009768
586,0.1891811
587,0.14051685
588,0.31547844
589,0.082796
590,0.224467
591,0.30639595
592,0.31082678
593,0.31082678
594,0.30125934
595,0.1544325
596,0.16802506
597,0.23548408
598,0.108943105
599,0.24784583
600,0.17798738
601,0.21614346
602,0.24018852
603,0.110052586
604,0.18212569
605,0.3565358
606,0.19464496
607,0.19464496
608,0.06443145
609,0.19464496
610,0.1624085
611,0.1442709
612,0.3028143
613,0.20822655
614,0.33988947
615,0.33988947
616,0.189021
617,0.20596644
618,0.27097207
619,0.27097207
620,0.31863922
621,0.1438976
622,0.22012137
623,0.09060284
624,0.24602497
625,0.29826123
626,0.07051122
627,0.14225353
628,0.080784604
629,0.080784604
630,0.061614536
631,0.047799837
632,0.065893635
633,0.09877007
634,0.1468009
635,0.081889614
636,0.24055773
637,0.08739057
638,0.06424856
639,0.22764026
640,0.25557426
641,0.3018948
642,0.2546501
643,0.21626659
644,0.17409025
645,0.27701625
646,0.1024849
647,0.2782522
648,0.34252498
649,0.06655159
650,0.06655159
651,0.31638315
652,0.19187555
653,0.37190136
654,0.33831006
655,0.09192233
656,0.30493432
657,0.17679106
658,0.16931371
659,0.17130962
660,0.17347549
661,0.18860365
662,0.27583742
663,0.27583742
664,0.27583742
665,0.14103237
666,0.14103237
667,0.32502276
668,0.34045443
669,0.16696098
670,0.13026209
671,0.14103237
672,0.14103237
673,0.19361757
674,0.18158577
675,0.20321777
676,0.20321777
677,0.08434571
678,0.16710111
679,0.16710111
680,0.14524
681,0.19578314
682,0.19688343
683,0.19578314
684,0.15808232
685,0.24113469
686,0.24113469
687,0.093653455
688,0.3065123
689,0.21859159
690,0.118803196
691,0.22252308
692,0.3017328
693,0.19530366
694,0.22813773
695,0.25971746
696,0.05949385
697,0.23773031
698,0.11112842
699,0.33978254
700,0.33978254
701,0.2716396
702,0.25458622
703,0.24528106
704,0.15105161
705,0.334854
706,0.2035907
707,0.20202886
708,0.25020236
709,0.22672659
710,0.25826448
711,0.33995932
712,0.11040293
713,0.33432242
714,0.33432242
715,0.08768114
716,0.23297723
717,0.40578145
718,0.123511985
719,0.23861632
720,0.32140952
721,0.29464084
722,0.21191907
723,0.17596006
724,0.1183988
725,0.2818569
726,0.20139049
727,0.1015686
728,0.23364076
729,0.20139049
730,0.27484682
731,0.12845726
732,0.16141921
733,0.09758882
734,0.14657071
735,0.20005536
736,0.2123617
737,0.07903619
738,0.07903619
739,0.07005864
740,0.07005864
741,0.08593199
742,0.0742847
743,0.0742847
744,0.074062556
745,0.05065981
746,0.2997853
747,0.2997853
748,0.29249242
749,0.06360284
750,0.351852
751,0.12029123
752,0.2414417
753,0.22687508
754,0.022784203
755,0.22085787
756,0.2968066
757,0.26521105
758,0.110796995
759,0.1820923
760,0.2956317
761,0.2751356
762,0.16361777
763,0.20642324
764,0.23854503
765,0.113522954
766,0.0995999
767,0.21086963
768,0.11655263
769,0.056700427
770,0.26425567
771,0.25524506
772,0.24972136
773,0.15477426
774,0.32659546
775,0.30253464
776,0.32659546
777,0.30253464
778,0.34199739
779,0.5208077
780,0.34199739
781,0.2704811
782,0.3383044
783,0.3994461
784,0.13540812
785,0.1546884
786,0.2999003
787,0.09724877
788,0.299142
789,0.34877625
790,0.2701825
791,0.047617976
792,0.06569997
793,0.19696532
794,0.23119721
795,0.21253797
796,0.27822644
797,0.21265666
798,0.31754735
799,0.21059282
800,0.2607077
801,0.3025952
802,0.28007773
803,0.0594925
804,0.0594925
805,0.20953667
806,0.31753844
807,0.31753844
808,0.31753844
809,0.43709317
810,0.43709317
811,0.20457269
812,0.22566147
813,0.24027567
814,0.18959956
815,0.18959956
816,0.2433223
817,0.26344612
818,0.061559185
819,0.29784396
820,0.10247823
821,0.12502138
822,0.4712098
823,0.39465067
824,0.19430894
825,0.30397218
826,0.2946208
827,0.06699878
828,0.2779741
829,0.15340605
830,0.27971715
831,0.09096426
832,0.31073424
833,0.108396925
834,0.18786897
835,0.23932199
836,0.18786897
837,0.112247676
838,0.084048726
839,0.105054535
840,0.10654277
841,0.3003678
842,0.112247676
843,0.21312475
844,0.26366645
845,0.16011208
846,0.26366645
847,0.3894309
848,0.14081745
849,0.24532713
850,0.18403858
851,0.18403858
852,0.18403858
853,0.18403858
854,0.24532713
855,0.19107889
856,0.26173544
857,0.12622601
858,0.22379261
859,0.021211416
860,0.26046345
861,0.20675547
862,0.2145821
863,0.25273895
864,0.18668666
865,0.18714744
866,0.20420931
867,0.31459567
868,0.3135289
869,0.25912496
870,0.25912496
871,0.11561996
872,0.09404719
873,0.19919962
874,0.27942467
875,0.3060546
876,0.4105943
877,0.3060546
878,0.21961883
879,0.06592421
880,0.06812893
881,0.22487825
882,0.24044247
883,0.10464398
884,0.10464398
885,0.12514068
886,0.13248597
887,0.13248597
888,0.24793339
889,0.18211088
890,0.16831928
891,0.3527415
892,0.26285028
893,0.17056307
894,0.21723542
895,0.19423313
896,0.10810718
897,0.34813738
898,0.16766118
899,0.24363148
900,0.28929713
901,0.28526384
902,0.1106636
903,0.23853262
904,0.08876959
905,0.15296505
906,0.26054075
907,0.21407726
908,0.21407726
909,0.053070582
910,0.28862014
911,0.068245105
912,0.34760597
913,0.19064356
914,0.23796065
915,0.39392287
916,0.23432793
917,0.23142788
918,0.23142788
919,0.2216877
920,0.2353323
921,0.3005026
922,0.23142788
923,0.23142788
924,0.09667857
925,0.13181518
926,0.03856614
927,0.16673605
928,0.16673605
929,0.2260169
930,0.2260169
931,0.31141582
932,0.086219445
933,0.09030767
934,0.14044617
935,0.14044617
936,0.14044617
937,0.14044617
938,0.14044617
939,0.14044617
940,0.14044617
941,0.3012009
942,0.2014249
943,0.18950763
944,0.116773546
945,0.1119888
946,0.096604995
947,0.11129116
948,0.06089466
949,0.17407063
950,0.33404565
951,0.06417833
952,0.18053989
953,0.21262307
954,0.21369958
955,0.24662992
956,0.14523603
957,0.16618966
958,0.20905678
959,0.06294975
960,0.2429128
961,0.2429128
962,0.21686062
963,0.204435
964,0.1354436
965,0.16244663
966,0.3817715
967,0.34776297
968,0.15642709
969,0.16222173
970,0.16494504
971,0.14551537
972,0.22608614
973,0.17876843
974,0.22608614
975,0.30258814
976,0.31805167
977,0.41676676
978,0.41676676
979,0.29626435
980,0.28944525
981,0.28354496
982,0.30845478
983,0.28659883
984,0.21342982
985,0.09245798
986,0.29321054
987,0.17027955
988,0.2640957
989,0.300137
990,0.22465724
991,0.22465724
992,0.2661107
993,0.16919766
994,0.17619802
995,0.20739001
996,0.18756613
997,0.0807931
998,0.19643989
999,0.09785736
1000,0.20431475
1001,0.22239883
1002,0.29623577
1003,0.07984864
1004,0.23104535
1005,0.17159742
1006,0.2081406
1007,0.077614516
1008,0.080789916
1009,0.080789916
1010,0.22034085
1011,0.077614516
1012,0.077614516
1013,0.37135133
1014,0.2943075
1015,0.21386085
1016,0.30464733
1017,0.21386085
1018,0.28813645
1019,0.13722768
